,available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,days_since_review,comment_length,days_since_joined,host_location_country,property_type_kind,no_of_bath,type_of_bath,number_of_amneties
1040,0.0,70.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,4.0,669.5,184.0,1118,Belgium,Entire,1.0,Private,23
1041,1.0,243.66666666666663,1.0,1125.0,Entire home/apt,3.0,1.0,2.0,28.0,580.7857142857143,161.10714285714286,1735,Belgium,Entire,1.0,Private,40
1042,1.0,232.3333333333333,1.0,1125.0,Entire home/apt,4.0,2.0,2.0,22.0,228.3636363636364,123.72727272727272,1735,Belgium,Entire,1.0,Private,41
1043,0.0,65.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,3.0,842.3333333333334,252.0,2828,Belgium,Entire,1.0,Private,22
1044,0.0,96.66666666666669,2.0,4.0,Entire home/apt,2.0,1.0,1.0,14.0,773.5714285714286,181.78571428571428,2487,United States,Entire,1.0,Private,31
1045,0.0,69.0,14.0,1125.0,Entire home/apt,4.0,1.0,2.0,23.0,582.4347826086956,196.69565217391303,2305,Netherlands,Entire,1.0,Private,47
1046,0.0,46.0,1.0,1125.0,Private room,2.0,1.0,1.0,19.0,670.7894736842105,223.8421052631579,2780,Belgium,Private,1.0,Private,20
1047,0.0,22.0,1.0,1125.0,Shared room,2.0,1.0,2.0,4.0,456.0,136.5,2780,Belgium,Public,1.0,Public,16
1048,1.0,21.0,1.0,1125.0,Shared room,2.0,1.0,2.0,2.0,489.0,86.0,2780,Belgium,Public,1.0,Public,16
1049,0.0,58.0,2.0,5.0,Private room,2.0,1.0,1.0,10.0,494.7,218.7,2416,Belgium,Private,1.0,Public,35
1050,0.0,90.0,2.0,14.0,Entire home/apt,4.0,2.0,2.0,23.0,566.5217391304348,263.3478260869565,2639,Belgium,Entire,1.5,Private,34
1051,0.0,45.0,2.0,14.0,Private room,2.0,1.0,1.0,4.0,802.25,317.5,2639,Belgium,Private,1.5,Public,32
1052,1.0,65.0,2.0,1125.0,Entire home/apt,3.0,1.0,1.0,13.0,543.3846153846154,194.30769230769232,3247,Belgium,Entire,1.0,Private,27
1053,0.0,50.0,4.0,1125.0,Entire home/apt,2.0,1.0,1.0,7.0,836.2857142857143,148.71428571428572,2179,Belgium,Entire,1.0,Private,12
1054,0.0,52.0,2.0,1125.0,Entire home/apt,4.0,1.0,2.0,5.0,872.4,183.6,2916,Belgium,Entire,1.0,Private,10
1055,0.0,68.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,103.0,527.4368932038835,166.25242718446603,897,Belgium,Entire,1.0,Private,23
1056,0.0,20.0,4.0,1125.0,Private room,1.0,1.0,1.0,18.0,493.0,121.27777777777776,1285,Belgium,Private,1.0,Private,8
1057,0.0,23.0,2.0,1125.0,Private room,2.0,1.0,2.0,3.0,252.3333333333333,368.3333333333333,1285,Belgium,Private,1.0,Public,9
1058,0.0,25.0,3.0,1125.0,Private room,2.0,1.0,1.0,1.0,249.0,139.0,1285,Belgium,Private,1.0,Public,7
1059,0.0,90.0,1.0,1125.0,Entire home/apt,4.0,1.0,2.0,3.0,828.0,259.0,1361,Belgium,Entire,1.0,Private,17
1060,1.0,40.0,13.0,1125.0,Entire home/apt,2.0,1.0,1.0,3.0,426.0,904.0,917,Belgium,Entire,1.0,Private,36
1061,1.0,150.0,150.0,1125.0,Entire home/apt,3.0,1.0,1.0,0.0,2720.1323529411766,0.0,1234,Belgium,Entire,1.5,Private,18
1062,0.0,120.0,4.333333333333333,1125.0,Entire home/apt,4.0,2.0,3.0,2.0,524.0,304.5,1072,Belgium,Entire,1.0,Private,32
1063,0.0,116.66666666666669,4.666666666666667,1125.0,Entire home/apt,4.0,2.0,2.0,2.0,353.5,274.0,1072,Belgium,Entire,1.0,Private,18
1064,0.0,130.0,5.333333333333333,1125.0,Entire home/apt,4.0,2.0,3.0,5.0,592.4,305.6,1072,Belgium,Entire,1.0,Private,23
1065,0.0,91.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,23.0,637.695652173913,270.5217391304348,886,Belgium,Entire,1.0,Private,21
1066,0.0,51.0,2.0,1125.0,Private room,2.0,1.0,1.0,23.0,635.7826086956521,223.91304347826087,885,Belgium,Private,1.0,Public,21
1067,1.0,46.333333333333336,3.0,1125.0,Entire home/apt,2.0,1.0,1.0,7.0,449.7142857142857,151.71428571428572,2449,Belgium,Entire,1.5,Private,41
1068,1.0,114.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,9.0,519.1111111111111,188.5555555555556,879,Netherlands,Entire,1.0,Private,33
1069,0.0,95.0,2.0,1125.0,Entire home/apt,3.0,1.0,2.0,87.0,435.42528735632186,195.1379310344828,956,Belgium,Entire,1.0,Private,27
1070,0.0,56.0,3.0,5.0,Entire home/apt,2.0,1.0,2.0,1.0,840.0,136.0,877,Belgium,Entire,1.0,Private,18
1071,0.0,149.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,0.0,2720.1323529411766,0.0,1082,Belgium,Entire,1.0,Private,36
1072,1.0,463.3333333333333,1.0,365.0,Entire home/apt,14.0,4.0,9.0,21.0,419.57142857142856,202.0952380952381,2095,Belgium,Entire,2.0,Private,36
1073,1.0,130.0,1.0,365.0,Entire home/apt,4.0,1.0,3.0,23.0,305.17391304347825,109.3913043478261,2095,Belgium,Entire,1.0,Private,20
1074,1.0,460.6666666666667,1.0,1125.0,Entire home/apt,16.0,5.0,12.0,14.0,318.92857142857144,141.92857142857142,2095,Belgium,Entire,3.0,Private,22
1075,0.0,65.0,2.0,1125.0,Private room,2.0,1.0,1.0,4.0,788.5,294.75,2602,Belgium,Private,1.5,Private,28
1076,0.0,68.66666666666667,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,21.0,654.6666666666666,166.28571428571428,875,Belgium,Entire,1.0,Private,16
1077,1.0,75.66666666666667,1.0,1125.0,Private room,2.0,1.0,2.0,14.0,492.4285714285714,109.14285714285714,874,Belgium,Private,1.0,Private,27
1078,1.0,75.66666666666667,1.0,1125.0,Private room,2.0,1.0,2.0,6.0,187.16666666666663,74.33333333333333,874,Belgium,Private,1.0,Private,27
1079,1.0,75.66666666666667,1.0,1125.0,Private room,2.0,1.0,2.0,5.0,181.2,142.0,874,Belgium,Private,1.0,Private,27
1080,1.0,72.33333333333333,1.0,1125.0,Private room,2.0,1.0,2.0,4.0,614.0,152.25,874,Belgium,Private,1.0,Private,27
1081,1.0,75.66666666666667,1.0,1125.0,Private room,2.0,1.0,2.0,2.0,503.0,131.0,874,Belgium,Private,1.0,Private,26
1082,1.0,75.66666666666667,1.0,1125.0,Private room,2.0,1.0,2.0,13.0,498.61538461538464,84.23076923076923,874,Belgium,Private,1.0,Private,28
1083,1.0,133.33333333333334,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,33.0,411.1818181818182,145.8181818181818,1000,Belgium,Entire,1.5,Private,24
1084,0.0,75.0,2.0,1125.0,Entire home/apt,4.0,1.0,4.0,11.0,383.6363636363636,194.27272727272728,873,Belgium,Entire,1.0,Private,37
1085,1.0,114.0,1.3333333333333333,14.0,Private room,2.0,1.0,1.0,1.0,408.0,257.0,2919,Belgium,Private,1.0,Private,25
1086,0.0,125.0,4.0,1125.0,Entire home/apt,6.0,3.0,3.0,3.0,179.66666666666666,178.0,2919,Belgium,Entire,1.5,Private,44
1087,0.0,86.33333333333333,2.0,1125.0,Entire home/apt,3.0,1.0,1.0,84.0,426.8333333333333,183.3095238095238,2960,Belgium,Entire,1.0,Private,40
1088,0.0,54.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,16.0,476.4375,150.875,867,Belgium,Entire,1.0,Private,30
1089,0.0,59.333333333333336,1.0,1125.0,Entire home/apt,3.0,1.0,1.0,11.0,466.27272727272725,116.1818181818182,867,Belgium,Entire,1.0,Private,32
1090,0.0,54.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,39.0,553.7948717948718,142.92307692307693,864,Belgium,Entire,1.0,Private,19
1091,0.0,80.0,1.3333333333333333,1125.0,Entire home/apt,2.0,1.0,1.0,21.0,168.71428571428572,177.23809523809524,1482,Belgium,Entire,1.0,Private,34
1092,0.0,120.0,3.0,28.0,Entire home/apt,4.0,2.0,2.0,1.0,758.0,35.0,1107,Italy,Entire,1.0,Private,19
1093,1.0,65.66666666666667,1.0,13.0,Entire home/apt,10.0,2.0,4.0,2.0,450.5,166.5,857,Belgium,Entire,1.5,Private,34
1094,1.0,112.33333333333331,1.0,13.0,Entire home/apt,10.0,2.0,4.0,6.0,263.1666666666667,562.8333333333334,857,Belgium,Entire,1.5,Private,32
1095,1.0,72.33333333333333,1.0,13.0,Entire home/apt,10.0,2.0,4.0,2.0,173.5,215.5,857,Belgium,Entire,1.5,Private,35
1096,1.0,95.66666666666669,1.0,13.0,Entire home/apt,10.0,2.0,4.0,4.0,437.75,210.25,857,Belgium,Entire,1.5,Private,34
1097,1.0,112.33333333333331,1.0,13.0,Entire home/apt,9.0,2.0,4.0,2.0,428.0,345.0,857,Belgium,Entire,1.5,Private,34
1098,1.0,95.66666666666669,1.0,13.0,Entire home/apt,9.0,1.0,3.0,10.0,362.7,154.8,857,Belgium,Entire,1.5,Private,33
1099,1.0,105.66666666666669,1.0,13.0,Entire home/apt,6.0,1.0,4.0,6.0,396.5,84.83333333333333,857,Belgium,Entire,1.5,Private,33
1100,1.0,95.66666666666669,1.0,13.0,Entire home/apt,6.0,1.0,4.0,46.0,438.82608695652175,150.32608695652175,857,Belgium,Entire,1.5,Private,34
1101,1.0,105.66666666666669,1.0,21.0,Entire home/apt,12.0,1.0,4.0,2.0,367.5,72.0,857,Belgium,Entire,1.5,Private,27
1102,1.0,89.0,1.0,13.0,Entire home/apt,9.0,2.0,4.0,30.0,393.3333333333333,120.3,857,Belgium,Entire,1.5,Private,33
1103,1.0,95.66666666666669,1.0,13.0,Entire home/apt,9.0,2.0,4.0,15.0,536.8,156.13333333333333,857,Belgium,Entire,1.5,Private,33
1104,1.0,95.66666666666669,1.0,13.0,Entire home/apt,12.0,2.0,7.0,16.0,375.75,161.9375,857,Belgium,Entire,1.5,Private,39
1105,1.0,112.33333333333331,1.0,13.0,Entire home/apt,12.0,2.0,5.0,6.0,403.6666666666667,131.0,857,Belgium,Entire,1.5,Private,34
1106,1.0,112.33333333333331,1.0,21.0,Entire home/apt,9.0,1.0,3.0,4.0,434.75,118.25,857,Belgium,Entire,1.5,Private,33
1107,1.0,95.66666666666669,1.0,21.0,Entire home/apt,9.0,1.0,3.0,11.0,345.09090909090907,87.0909090909091,857,Belgium,Entire,1.5,Private,34
1108,1.0,112.33333333333331,1.0,13.0,Entire home/apt,7.0,1.0,4.0,41.0,305.1951219512195,133.5609756097561,857,Belgium,Entire,1.5,Private,37
1109,1.0,95.66666666666669,1.0,13.0,Entire home/apt,7.0,1.0,3.0,17.0,319.52941176470586,209.41176470588235,857,Belgium,Entire,1.5,Private,39
1110,1.0,65.66666666666667,1.0,13.0,Entire home/apt,7.0,1.0,4.0,8.0,454.875,94.75,857,Belgium,Entire,1.5,Private,34
1111,1.0,112.33333333333331,1.0,13.0,Entire home/apt,12.0,2.0,5.0,13.0,478.38461538461536,132.15384615384616,857,Belgium,Entire,2.0,Private,26
1112,1.0,112.33333333333331,1.0,13.0,Entire home/apt,9.0,2.0,4.0,47.0,322.9574468085106,191.4042553191489,857,Belgium,Entire,1.5,Private,33
1113,1.0,79.0,1.0,13.0,Entire home/apt,9.0,2.0,5.0,17.0,416.6470588235294,111.0,857,Belgium,Entire,1.5,Private,34
1114,1.0,105.66666666666669,1.0,13.0,Entire home/apt,9.0,2.0,4.0,6.0,564.6666666666666,205.16666666666663,857,Belgium,Entire,1.5,Private,33
1115,1.0,95.66666666666669,1.0,1125.0,Entire home/apt,8.0,1.0,4.0,4.0,711.75,60.75,857,Belgium,Entire,1.5,Private,29
1116,1.0,95.66666666666669,1.0,13.0,Entire home/apt,12.0,2.0,5.0,29.0,401.82758620689657,135.41379310344828,857,Belgium,Entire,2.5,Private,36
1117,1.0,89.0,1.0,21.0,Entire home/apt,9.0,1.0,3.0,14.0,223.57142857142856,204.1428571428572,857,Belgium,Entire,1.5,Private,32
1118,1.0,95.66666666666669,1.0,13.0,Entire home/apt,10.0,2.0,4.0,8.0,602.25,199.375,857,Belgium,Entire,1.5,Private,34
1119,1.0,112.33333333333331,1.0,13.0,Entire home/apt,12.0,2.0,5.0,40.0,283.175,175.975,857,Belgium,Entire,1.5,Private,28
1120,1.0,72.33333333333333,1.0,21.0,Entire home/apt,9.0,1.0,2.0,19.0,383.6842105263158,199.8947368421053,857,Belgium,Entire,1.5,Private,34
